,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
38,Arsenal,A - Chelsea,2017-09-17,Prem,D 0-0,Sub-On 65 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,Arsenal,H - Doncaster,2017-09-20,CC,W 1-0,Started,0.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0
36,Arsenal,H - West Brom,2017-09-25,Prem,W 2-0,Sub-Off 82 min,0.0,0.0,4.0,2.0,1.0,5.0,1.0,0.0
35,Arsenal,H - Brighton,2017-10-01,Prem,W 2-0,Started,0.0,1.0,8.0,3.0,1.0,3.0,0.0,0.0
1,Chile,H - Ecuador,2017-10-05,WCQ,W 2-1,Started,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
0,Chile,A - Brazil,2017-10-10,WCQ,L 3-0,Started,0.0,0.0,2.0,0.0,2.0,7.0,1.0,0.0
34,Arsenal,A - Everton,2017-10-22,Prem,W 2-5,Started,1.0,1.0,7.0,3.0,2.0,4.0,0.0,0.0
33,Arsenal,H - Swansea,2017-10-28,Prem,W 2-1,Started,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
32,Arsenal,A - Man City,2017-11-05,Prem,L 3-1,Started,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0
31,Arsenal,H - Tottenham,2017-11-18,Prem,W 2-0,Started,1.0,0.0,6.0,4.0,3.0,6.0,1.0,0.0
30,Arsenal,A - Burnley,2017-11-26,Prem,W 0-1,Started,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
29,Arsenal,H - Huddersfield,2017-11-29,Prem,W 5-0,Sub-Off 72 min,1.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0
28,Arsenal,H - Man Utd,2017-12-02,Prem,L 1-3,Started,0.0,0.0,5.0,2.0,1.0,3.0,1.0,0.0
27,Arsenal,A - Southampton,2017-12-10,Prem,D 1-1,Started,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
26,Arsenal,A - West Ham,2017-12-13,Prem,D 0-0,Sub-Off 81 min,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0
25,Arsenal,H - Newcastle,2017-12-16,Prem,W 1-0,Sub-Off 88 min,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0
24,Arsenal,H - Liverpool,2017-12-22,Prem,D 3-3,Started,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
23,Arsenal,A - C Palace,2017-12-28,Prem,W 2-3,Started,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0
22,Arsenal,A - West Brom,2017-12-31,Prem,D 1-1,Started,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0
21,Arsenal,H - Chelsea,2018-01-03,Prem,D 2-2,Started,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0
20,Arsenal,A - Chelsea,2018-01-10,CC,D 0-0,Substitute,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
