,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
0,Barcelona,A - Athletic,2012-05-25,Esp Cup,W 0-3,Sub-Off 71 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Chile,A - Bolivia,2012-06-02,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
59,Chile,A - Venezuela,2012-06-09,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
70,Chile,A - Venezuela,2012-06-09,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
58,Chile,A - Ecuador,2012-08-15,Int,L 3-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,Barcelona,H - R Sociedad,2012-08-19,La Liga,W 5-1,Unused Substitute,,,,,,,,
56,Barcelona,H - Real Madrid,2012-08-23,Sup Cup,W 3-2,Sub-Off 71 min,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
55,Barcelona,A - Osasuna,2012-08-26,La Liga,W 1-2,Started,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0
54,Barcelona,A - Real Madrid,2012-08-29,Sup Cup,L 2-1,Sub-Off 31 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Barcelona,H - Valencia,2012-09-02,La Liga,W 1-0,Sub-Off 86 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,Chile,H - Colombia,2012-09-11,WCQ,L 1-3,Sub-Off 81 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
69,Chile,H - Colombia,2012-09-11,WCQ,L 1-3,Sub-Off 81 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
51,Barcelona,H - Spart Moscow,2012-09-19,UCL,W 3-2,Sub-On 63 min,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
