,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
33,Barcelona,A - Valencia,2012-02-01,Esp Cup,D 1-1,Sub-Off 62 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Barcelona,H - Valencia,2012-02-08,Esp Cup,W 2-0,Sub-Off 86 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Barcelona,A - Osasuna,2012-02-11,La Liga,L 3-2,Started,1.0,0.0,2.0,1.0,2.0,5.0,1.0,0.0
37,Barcelona,A - Leverkusen,2012-02-14,UCL,W 1-3,Sub-Off 85 min,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
38,Barcelona,H - Valencia,2012-02-19,La Liga,W 5-1,Started,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0
39,Barcelona,A - Atletico,2012-02-26,La Liga,W 1-2,Sub-Off 84 min,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
40,Chile,H - Ghana,2012-02-29,Int,D 1-1,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Barcelona,H - Sporting,2012-03-03,La Liga,W 3-1,Sub-On 58 min,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
42,Barcelona,A - Sevilla,2012-03-17,La Liga,W 0-2,Sub-On 81 min,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
43,Barcelona,H - Granada,2012-03-20,La Liga,W 5-3,Sub-Off 71 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,Barcelona,A - Mallorca,2012-03-24,La Liga,W 0-2,Sub-Off 81 min,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
45,Barcelona,A - Milan,2012-03-28,UCL,D 0-0,Sub-Off 75 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,Barcelona,H - Athletic,2012-03-31,La Liga,W 2-0,Sub-Off 82 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Barcelona,A - R Zaragoza,2012-04-07,La Liga,W 1-4,Started,0.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0
49,Barcelona,H - Getafe,2012-04-10,La Liga,W 4-0,Started,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
50,Barcelona,A - Levante,2012-04-14,La Liga,W 1-2,Sub-Off 75 min,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
51,Barcelona,A - Chelsea,2012-04-18,UCL,L 1-0,Sub-Off 65 min,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
52,Barcelona,H - Real Madrid,2012-04-21,La Liga,L 1-2,Sub-On 68 min,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
53,Barcelona,H - Chelsea,2012-04-24,UCL,L 2-2,Started,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
54,Barcelona,A - Rayo,2012-04-29,La Liga,W 0-7,Sub-Off 79 min,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
55,Barcelona,A - Athletic,2012-05-25,Esp Cup,W 0-3,Sub-Off 71 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Chile,A - Bolivia,2012-06-02,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
57,Chile,A - Venezuela,2012-06-09,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
58,Chile,A - Venezuela,2012-06-09,WCQ,W 0-2,Started,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
59,Chile,A - Ecuador,2012-08-15,Int,L 3-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,Barcelona,H - Real Madrid,2012-08-23,Sup Cup,W 3-2,Sub-Off 71 min,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
62,Barcelona,A - Osasuna,2012-08-26,La Liga,W 1-2,Started,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0
63,Barcelona,A - Real Madrid,2012-08-29,Sup Cup,L 2-1,Sub-Off 31 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Barcelona,H - Valencia,2012-09-02,La Liga,W 1-0,Sub-Off 86 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,Chile,H - Colombia,2012-09-11,WCQ,L 1-3,Sub-Off 81 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
66,Chile,H - Colombia,2012-09-11,WCQ,L 1-3,Sub-Off 81 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
67,Barcelona,H - Spart Moscow,2012-09-19,UCL,W 3-2,Sub-On 63 min,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
68,Barcelona,H - Granada,2012-09-22,La Liga,W 2-0,Started,0.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0
69,Barcelona,A - Sevilla,2012-09-29,La Liga,W 2-3,Sub-Off 69 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
70,Barcelona,A - Benfica,2012-10-02,UCL,W 0-2,Started,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0
71,Barcelona,H - Real Madrid,2012-10-07,La Liga,D 2-2,Sub-On 61 min,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
72,Chile,A - Ecuador,2012-10-12,WCQ,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
73,Chile,A - Ecuador,2012-10-12,WCQ,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
74,Chile,H - Argentina,2012-10-16,WCQ,L 1-2,Started,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,Barcelona,H - Celtic,2012-10-23,UCL,W 2-1,Sub-Off 79 min,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0
77,Barcelona,A - Rayo,2012-10-27,La Liga,W 0-5,Sub-On 62 min,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
78,Barcelona,A - Alavés,2012-10-30,Esp Cup,W 0-3,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Barcelona,H - Celta Vigo,2012-11-03,La Liga,W 3-1,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,Barcelona,A - Celtic,2012-11-07,UCL,L 2-1,Sub-Off 64 min,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0
81,Barcelona,A - Mallorca,2012-11-11,La Liga,W 2-4,Sub-On 65 min,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
82,Chile,H - Serbia,2012-11-14,Int,L 1-3,Sub-Off 20 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Barcelona,A - Betis,2012-12-09,La Liga,W 1-2,Sub-On 9 min,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0
84,Barcelona,A - Cordoba,2012-12-12,Esp Cup,W 0-2,Sub-On 66 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
